*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 137    35    0.0   11.2   12.1   15.7   31.4   0.29   27.0   15.1   20.7   22.9   15.1   20.7   22.9   86.4  400.5   0.00   0.00
 2015 138    36    0.0   11.2   12.1   14.3   28.6   0.35   27.5   16.1   21.4   23.6   16.1   21.4   23.6   86.4  400.5   0.00   0.00
 2015 139    37    1.0   11.2   12.1   12.8   25.6   0.42   27.0   19.8   23.2   24.5   19.8   23.2   24.5   86.4  400.5   0.00   0.00
 2015 140    38    0.8   11.2   12.1   14.0   28.0   0.36   26.4   16.8   21.3   23.1   16.8   21.3   23.1   86.4  400.5   0.00   0.00
 2015 141    39    0.0   11.2   12.1   15.5   31.0   0.29   26.7   15.7   20.8   22.9   15.7   20.8   22.9   86.4  400.5   0.00   0.00
 2015 142    40    0.0   11.2   12.1   13.5   27.0   0.38   26.6   16.1   21.0   23.0   16.1   21.0   23.0   86.4  400.5   0.00   0.00
 2015 143    41    0.0   11.2   12.1   12.2   24.4   0.44   26.8   18.7   22.5   24.0   18.7   22.5   24.0   86.4  400.5   0.00   0.00
 2015 144    42    0.0   11.1   12.0   14.7   29.4   0.32   28.2   18.1   22.8   24.7   18.1   22.8   24.7   86.4  400.5   0.00   0.00
 2015 145    43    0.0   11.1   12.0   16.2   32.4   0.25   28.4   19.5   23.7   25.3   19.5   23.7   25.3   86.4  400.5   0.00   0.00
 2015 146    44    0.0   11.1   12.0   16.4   32.8   0.24   28.2   18.9   23.2   25.0   18.9   23.2   25.0   86.4  400.5   0.00   0.00
 2015 147    45    0.0   11.1   12.0   14.1   28.2   0.34   28.3   18.9   23.3   25.1   18.9   23.3   25.1   86.4  400.5   0.00   0.00
 2015 148    46    0.0   11.1   12.0   14.2   28.4   0.33   27.7   12.2   19.4   22.4   12.2   19.4   22.4   86.4  400.5   0.00   0.00
 2015 149    47    0.0   11.1   12.0   14.7   29.4   0.31   27.2   10.4   18.2   21.4   10.4   18.2   21.4   86.4  400.5   0.00   0.00
 2015 150    48    0.0   11.1   12.0   16.4   32.8   0.23   29.0   11.0   19.4   22.8   11.0   19.4   22.8   86.4  400.5   0.00   0.00
 2015 151    49    0.0   11.1   12.0   16.5   33.0   0.22   30.7   12.0   20.7   24.3   12.0   20.7   24.3   86.4  400.5   0.00   0.00
 2015 152    50    0.0   11.1   12.0   14.8   29.6   0.30   29.6   12.4   20.4   23.7   12.4   20.4   23.7   86.4  400.5   0.00   0.00
 2015 153    51    0.0   11.1   12.0   15.3   30.6   0.27   28.7   16.6   22.2   24.5   16.6   22.2   24.5   86.4  400.5   0.00   0.00
 2015 154    52    0.0   11.1   12.0   14.2   28.4   0.32   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4  400.5   0.00   0.00
 2015 155    53    0.0   11.1   12.0   16.1   32.2   0.23   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 156    54    0.0   11.1   12.0   15.4   30.8   0.26   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 157    55    0.0   11.1   12.0   15.6   31.2   0.25   27.8   15.6   21.3   23.6   15.6   21.3   23.6   86.4  400.5   0.00   0.00
 2015 158    56    0.0   11.0   12.0   15.2   30.4   0.27   27.7   15.9   21.4   23.6   15.9   21.4   23.6   86.4  400.5   0.00   0.00
 2015 159    57    0.0   11.0   12.0   15.1   30.2   0.27   28.0   14.5   20.8   23.3   14.5   20.8   23.3   86.4  400.5   0.00   0.00
 2015 160    58    0.0   11.0   12.0   16.0   32.0   0.23   28.3   14.2   20.8   23.4   14.2   20.8   23.4   86.4  400.5   0.00   0.00
 2015 161    59    0.0   11.0   11.9   10.8   21.6   0.48   27.4   14.7   20.6   23.0   14.7   20.6   23.0   86.4  400.5   0.00   0.00
 2015 162    60    0.0   11.0   11.9   15.2   30.4   0.27   28.3   15.6   21.5   23.9   15.6   21.5   23.9   86.4  400.5   0.00   0.00
 2015 163    61    0.0   11.0   11.9   13.2   26.4   0.36   27.7   16.8   21.9   23.9   16.8   21.9   23.9   86.4  400.5   0.00   0.00
 2015 164    62    0.0   11.0   11.9   15.0   30.0   0.27   28.7   14.7   21.2   23.9   14.7   21.2   23.9   86.4  400.5   0.00   0.00
 2015 165    63    0.0   11.0   11.9   15.2   30.4   0.26   28.8   14.2   21.0   23.7   14.2   21.0   23.7   86.4  400.5   0.00   0.00
 2015 166    64    0.0   11.0   11.9   14.9   29.8   0.28   29.0   15.6   21.8   24.4   15.6   21.8   24.4   86.4  400.7   0.00   0.00
 2015 167    65    0.0   11.0   11.9   13.5   27.0   0.34   28.8   14.9   21.4   24.0   14.9   21.4   24.0   86.4  400.7   0.00   0.00
 2015 168    66    0.0   11.0   11.9   11.6   23.2   0.44   28.6   16.1   21.9   24.3   16.1   21.9   24.3   86.4  400.7   0.00   0.00
 2015 169    67    0.0   11.0   11.9   13.4   26.8   0.35   28.7   15.7   21.8   24.2   15.7   21.8   24.2   86.4  400.7   0.00   0.00
 2015 170    68    0.0   11.0   11.9   13.6   27.2   0.34   27.2   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.7   0.00   0.00
 2015 171    69    0.0   11.0   11.9   12.9   25.8   0.37   25.9   12.5   18.7   21.3   12.5   18.7   21.3   86.4  400.7   0.00   0.00
 2015 172    70    0.0   11.0   11.9   14.0   28.0   0.32   24.3   14.8   19.2   21.0   14.8   19.2   21.0   86.4  400.7   0.00   0.00
 2015 173    71    0.0   11.0   11.9   13.3   26.6   0.35   26.2   13.0   19.1   21.6   13.0   19.1   21.6   86.4  400.7   0.00   0.00
 2015 174    72    0.0   11.0   11.9   14.4   28.8   0.30   26.3   14.6   20.0   22.2   14.6   20.0   22.2   86.4  400.7   0.00   0.00
 2015 175    73    0.0   11.0   11.9   11.9   23.8   0.42   26.2   13.1   19.2   21.7   13.1   19.2   21.7   86.4  400.7   0.00   0.00

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 126     1   23.2   11.3   12.2    8.7   17.4   0.62   26.6   16.1   21.0   23.1   16.1   21.0   23.1   86.4  400.3   0.00   0.00
 2015 127     2    0.4   11.3   12.2   16.2   32.4   0.30   27.7   15.8   21.4   23.7   15.8   21.4   23.7   86.4  400.3   0.00   0.00
 2015 128     3    0.0   11.3   12.2   14.5   29.0   0.37   28.4   17.2   22.5   24.6   17.2   22.5   24.6   86.4  400.3   0.00   0.00
 2015 129     4    0.0   11.3   12.2   13.5   27.0   0.41   26.5   16.3   21.1   23.0   16.3   21.1   23.0   86.4  400.3   0.00   0.00
 2015 130     5    0.0   11.3   12.2   16.4   32.8   0.28   28.2   15.4   21.4   23.9   15.4   21.4   23.9   86.4  400.3   0.00   0.00
 2015 131     6   34.0   11.3   12.2    4.6    9.2   0.80   21.4   15.8   18.4   19.5   15.8   18.4   19.5   86.4  400.3   0.00   0.00
 2015 132     7    0.0   11.3   12.2    9.0   18.0   0.60   22.3   17.2   19.6   20.6   17.2   19.6   20.6   86.4  400.3   0.00   0.00
 2015 133     8    0.2   11.3   12.1   10.9   21.8   0.51   24.8   15.6   19.9   21.7   15.6   19.9   21.7   86.4  400.3   0.00   0.00
 2015 134     9    0.0   11.2   12.1   12.9   25.8   0.42   26.9   14.2   20.2   22.6   14.2   20.2   22.6   86.4  400.3   0.00   0.00
 2015 135    10    0.0   11.2   12.1   12.1   24.2   0.46   26.2   13.4   19.4   21.8   13.4   19.4   21.8   86.4  400.5   0.00   0.00
 2015 136    11    0.0   11.2   12.1   10.0   20.0   0.55   24.9   14.1   19.2   21.2   14.1   19.2   21.2   86.4  400.5   0.00   0.00
 2015 137    12    0.0   11.2   12.1   15.7   31.4   0.29   27.0   15.1   20.7   22.9   15.1   20.7   22.9   86.4  400.5   0.00   0.00
 2015 138    13    0.0   11.2   12.1   14.3   28.6   0.35   27.5   16.1   21.4   23.6   16.1   21.4   23.6   86.4  400.5   0.00   0.00
 2015 139    14    1.0   11.2   12.1   12.8   25.6   0.42   27.0   19.8   23.2   24.5   19.8   23.2   24.5   86.4  400.5   0.00   0.00
 2015 140    15    0.8   11.2   12.1   14.0   28.0   0.36   26.4   16.8   21.3   23.1   16.8   21.3   23.1   86.4  400.5   0.00   0.00
 2015 141    16    0.0   11.2   12.1   15.5   31.0   0.29   26.7   15.7   20.8   22.9   15.7   20.8   22.9   86.4  400.5   0.00   0.00
 2015 142    17    0.0   11.2   12.1   13.5   27.0   0.38   26.6   16.1   21.0   23.0   16.1   21.0   23.0   86.4  400.5   0.00   0.00
 2015 143    18    0.0   11.2   12.1   12.2   24.4   0.44   26.8   18.7   22.5   24.0   18.7   22.5   24.0   86.4  400.5   0.00   0.00
 2015 144    19    0.0   11.1   12.0   14.7   29.4   0.32   28.2   18.1   22.8   24.7   18.1   22.8   24.7   86.4  400.5   0.00   0.00
 2015 145    20    0.0   11.1   12.0   16.2   32.4   0.25   28.4   19.5   23.7   25.3   19.5   23.7   25.3   86.4  400.5   0.00   0.00
 2015 146    21    0.0   11.1   12.0   16.4   32.8   0.24   28.2   18.9   23.2   25.0   18.9   23.2   25.0   86.4  400.5   0.00   0.00
 2015 147    22    0.0   11.1   12.0   14.1   28.2   0.34   28.3   18.9   23.3   25.1   18.9   23.3   25.1   86.4  400.5   0.00   0.00
 2015 148    23    0.0   11.1   12.0   14.2   28.4   0.33   27.7   12.2   19.4   22.4   12.2   19.4   22.4   86.4  400.5   0.00   0.00
 2015 149    24    0.0   11.1   12.0   14.7   29.4   0.31   27.2   10.4   18.2   21.4   10.4   18.2   21.4   86.4  400.5   0.00   0.00
 2015 150    25    0.0   11.1   12.0   16.4   32.8   0.23   29.0   11.0   19.4   22.8   11.0   19.4   22.8   86.4  400.5   0.00   0.00
 2015 151    26    0.0   11.1   12.0   16.5   33.0   0.22   30.7   12.0   20.7   24.3   12.0   20.7   24.3   86.4  400.5   0.00   0.00
 2015 152    27    0.0   11.1   12.0   14.8   29.6   0.30   29.6   12.4   20.4   23.7   12.4   20.4   23.7   86.4  400.5   0.00   0.00
 2015 153    28    0.0   11.1   12.0   15.3   30.6   0.27   28.7   16.6   22.2   24.5   16.6   22.2   24.5   86.4  400.5   0.00   0.00
 2015 154    29    0.0   11.1   12.0   14.2   28.4   0.32   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4  400.5   0.00   0.00
 2015 155    30    0.0   11.1   12.0   16.1   32.2   0.23   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 156    31    0.0   11.1   12.0   15.4   30.8   0.26   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 157    32    0.0   11.1   12.0   15.6   31.2   0.25   27.8   15.6   21.3   23.6   15.6   21.3   23.6   86.4  400.5   0.00   0.00
 2015 158    33    0.0   11.0   12.0   15.2   30.4   0.27   27.7   15.9   21.4   23.6   15.9   21.4   23.6   86.4  400.5   0.00   0.00
 2015 159    34    0.0   11.0   12.0   15.1   30.2   0.27   28.0   14.5   20.8   23.3   14.5   20.8   23.3   86.4  400.5   0.00   0.00
 2015 160    35    0.0   11.0   12.0   16.0   32.0   0.23   28.3   14.2   20.8   23.4   14.2   20.8   23.4   86.4  400.5   0.00   0.00
 2015 161    36    0.0   11.0   11.9   10.8   21.6   0.48   27.4   14.7   20.6   23.0   14.7   20.6   23.0   86.4  400.5   0.00   0.00
 2015 162    37    0.0   11.0   11.9   15.2   30.4   0.27   28.3   15.6   21.5   23.9   15.6   21.5   23.9   86.4  400.5   0.00   0.00
 2015 163    38    0.0   11.0   11.9   13.2   26.4   0.36   27.7   16.8   21.9   23.9   16.8   21.9   23.9   86.4  400.5   0.00   0.00
 2015 164    39    0.0   11.0   11.9   15.0   30.0   0.27   28.7   14.7   21.2   23.9   14.7   21.2   23.9   86.4  400.5   0.00   0.00
 2015 165    40    0.0   11.0   11.9   15.2   30.4   0.26   28.8   14.2   21.0   23.7   14.2   21.0   23.7   86.4  400.5   0.00   0.00
 2015 166    41    0.0   11.0   11.9   14.9   29.8   0.28   29.0   15.6   21.8   24.4   15.6   21.8   24.4   86.4  400.7   0.00   0.00
 2015 167    42    0.0   11.0   11.9   13.5   27.0   0.34   28.8   14.9   21.4   24.0   14.9   21.4   24.0   86.4  400.7   0.00   0.00
 2015 168    43    0.0   11.0   11.9   11.6   23.2   0.44   28.6   16.1   21.9   24.3   16.1   21.9   24.3   86.4  400.7   0.00   0.00
 2015 169    44    0.0   11.0   11.9   13.4   26.8   0.35   28.7   15.7   21.8   24.2   15.7   21.8   24.2   86.4  400.7   0.00   0.00
 2015 170    45    0.0   11.0   11.9   13.6   27.2   0.34   27.2   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.7   0.00   0.00
 2015 171    46    0.0   11.0   11.9   12.9   25.8   0.37   25.9   12.5   18.7   21.3   12.5   18.7   21.3   86.4  400.7   0.00   0.00
 2015 172    47    0.0   11.0   11.9   14.0   28.0   0.32   24.3   14.8   19.2   21.0   14.8   19.2   21.0   86.4  400.7   0.00   0.00
 2015 173    48    0.0   11.0   11.9   13.3   26.6   0.35   26.2   13.0   19.1   21.6   13.0   19.1   21.6   86.4  400.7   0.00   0.00
 2015 174    49    0.0   11.0   11.9   14.4   28.8   0.30   26.3   14.6   20.0   22.2   14.6   20.0   22.2   86.4  400.7   0.00   0.00
 2015 175    50    0.0   11.0   11.9   11.9   23.8   0.42   26.2   13.1   19.2   21.7   13.1   19.2   21.7   86.4  400.7   0.00   0.00
 2015 176    51    0.0   11.0   11.9   15.5   31.0   0.25   26.9   12.4   19.2   21.9   12.4   19.2   21.9   86.4  400.7   0.00   0.00
 2015 177    52    0.0   11.0   11.9   13.0   26.0   0.37   25.5   12.1   18.3   20.9   12.1   18.3   20.9   86.4  400.7   0.00   0.00
 2015 178    53    0.0   11.0   11.9   13.7   27.4   0.33   24.7   11.9   17.9   20.3   11.9   17.9   20.3   86.4  400.7   0.00   0.00
 2015 179    54    0.0   11.0   11.9   14.0   28.0   0.32   25.5   11.2   17.9   20.5   11.2   17.9   20.5   86.4  400.7   0.00   0.00
 2015 180    55    0.0   11.0   11.9   15.3   30.6   0.26   26.3   12.7   19.0   21.6   12.7   19.0   21.6   86.4  400.7   0.00   0.00
 2015 181    56    0.0   11.0   11.9   14.9   29.8   0.28   26.7   12.4   19.1   21.8   12.4   19.1   21.8   86.4  400.7   0.00   0.00
 2015 182    57    0.0   11.0   11.9   14.0   28.0   0.32   28.6   12.4   19.9   23.0   12.4   19.9   23.0   86.4  400.7   0.00   0.00
 2015 183    58    0.0   11.0   11.9   14.1   28.2   0.32   28.0   13.6   20.3   23.0   13.6   20.3   23.0   86.4  400.7   0.00   0.00
 2015 184    59    0.0   11.0   11.9   14.6   29.2   0.30   28.1   13.2   20.1   22.9   13.2   20.1   22.9   86.4  400.7   0.00   0.00
 2015 185    60    0.0   11.0   11.9   15.4   30.8   0.26   28.9   12.1   19.9   23.1   12.1   19.9   23.1   86.4  400.7   0.00   0.00
 2015 186    61    0.0   11.0   11.9   12.5   25.0   0.40   29.1   10.7   19.3   22.7   10.7   19.3   22.7   86.4  400.7   0.00   0.00
 2015 187    62    0.0   11.0   12.0   10.2   20.4   0.51   28.6   10.8   19.1   22.5   10.8   19.1   22.5   86.4  400.7   0.00   0.00
 2015 188    63    0.0   11.1   12.0    5.2   10.4   0.75   23.9   13.1   18.1   20.2   13.1   18.1   20.2   86.4  400.7   0.00   0.00
 2015 189    64    1.8   11.1   12.0    1.8    3.6   0.91   18.6   13.9   16.1   17.0   13.9   16.1   17.0   86.4  400.7   0.00   0.00
 2015 190    65    0.0   11.1   12.0   11.3   22.6   0.46   26.0   12.1   18.6   21.2   12.1   18.6   21.2   86.4  400.7   0.00   0.00
 2015 191    66    0.0   11.1   12.0   16.4   32.8   0.22   29.3   12.3   20.2   23.4   12.3   20.2   23.4   86.4  400.7   0.00   0.00
 2015 192    67    0.0   11.1   12.0   14.7   29.4   0.30   29.6   13.6   21.1   24.1   13.6   21.1   24.1   86.4  400.7   0.00   0.00
 2015 193    68    0.0   11.1   12.0   14.0   28.0   0.34   29.5   12.2   20.3   23.5   12.2   20.3   23.5   86.4  400.7   0.00   0.00
 2015 194    69    0.0   11.1   12.0   16.7   33.4   0.21   30.3   12.6   20.9   24.2   12.6   20.9   24.2   86.4  400.7   0.00   0.00
 2015 195    70    0.0   11.1   12.0   15.4   30.8   0.27   29.7   12.7   20.6   23.9   12.7   20.6   23.9   86.4  400.7   0.00   0.00
 2015 196    71    0.0   11.1   12.0   16.1   32.2   0.24   30.0   12.3   20.6   23.9   12.3   20.6   23.9   86.4  401.0   0.00   0.00
 2015 197    72    0.0   11.1   12.0   14.3   28.6   0.33   27.9   13.1   20.0   22.8   13.1   20.0   22.8   86.4  401.0   0.00   0.00
 2015 198    73    0.0   11.1   12.0   16.7   33.4   0.22   27.3   12.4   19.4   22.2   12.4   19.4   22.2   86.4  401.0   0.00   0.00
 2015 199    74    0.0   11.1   12.0   14.8   29.6   0.31   26.2   11.9   18.6   21.3   11.9   18.6   21.3   86.4  401.0   0.00   0.00
 2015 200    75    0.0   11.1   12.0   14.5   29.0   0.33   26.6   13.2   19.5   22.0   13.2   19.5   22.0   86.4  401.0   0.00   0.00
 2015 201    76    0.0   11.1   12.0   17.5   35.0   0.19   28.8   13.8   20.8   23.7   13.8   20.8   23.7   86.4  401.0   0.00   0.00
 2015 202    77    0.0   11.2   12.0   13.8   27.6   0.36   28.6   13.8   20.7   23.5   13.8   20.7   23.5   86.4  401.0   0.00   0.00

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 148     1    0.0   11.1   12.0   14.2   28.4   0.33   27.7   12.2   19.4   22.4   12.2   19.4   22.4   86.4  400.5   0.00   0.00
 2015 149     2    0.0   11.1   12.0   14.7   29.4   0.31   27.2   10.4   18.2   21.4   10.4   18.2   21.4   86.4  400.5   0.00   0.00
 2015 150     3    0.0   11.1   12.0   16.4   32.8   0.23   29.0   11.0   19.4   22.8   11.0   19.4   22.8   86.4  400.5   0.00   0.00
 2015 151     4    0.0   11.1   12.0   16.5   33.0   0.22   30.7   12.0   20.7   24.3   12.0   20.7   24.3   86.4  400.5   0.00   0.00
 2015 152     5    0.0   11.1   12.0   14.8   29.6   0.30   29.6   12.4   20.4   23.7   12.4   20.4   23.7   86.4  400.5   0.00   0.00
 2015 153     6    0.0   11.1   12.0   15.3   30.6   0.27   28.7   16.6   22.2   24.5   16.6   22.2   24.5   86.4  400.5   0.00   0.00
 2015 154     7    0.0   11.1   12.0   14.2   28.4   0.32   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4  400.5   0.00   0.00
 2015 155     8    0.0   11.1   12.0   16.1   32.2   0.23   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 156     9    0.0   11.1   12.0   15.4   30.8   0.26   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 157    10    0.0   11.1   12.0   15.6   31.2   0.25   27.8   15.6   21.3   23.6   15.6   21.3   23.6   86.4  400.5   0.00   0.00
 2015 158    11    0.0   11.0   12.0   15.2   30.4   0.27   27.7   15.9   21.4   23.6   15.9   21.4   23.6   86.4  400.5   0.00   0.00
 2015 159    12    0.0   11.0   12.0   15.1   30.2   0.27   28.0   14.5   20.8   23.3   14.5   20.8   23.3   86.4  400.5   0.00   0.00
 2015 160    13    0.0   11.0   12.0   16.0   32.0   0.23   28.3   14.2   20.8   23.4   14.2   20.8   23.4   86.4  400.5   0.00   0.00
 2015 161    14    0.0   11.0   11.9   10.8   21.6   0.48   27.4   14.7   20.6   23.0   14.7   20.6   23.0   86.4  400.5   0.00   0.00
 2015 162    15    0.0   11.0   11.9   15.2   30.4   0.27   28.3   15.6   21.5   23.9   15.6   21.5   23.9   86.4  400.5   0.00   0.00
 2015 163    16    0.0   11.0   11.9   13.2   26.4   0.36   27.7   16.8   21.9   23.9   16.8   21.9   23.9   86.4  400.5   0.00   0.00
 2015 164    17    0.0   11.0   11.9   15.0   30.0   0.27   28.7   14.7   21.2   23.9   14.7   21.2   23.9   86.4  400.5   0.00   0.00
 2015 165    18    0.0   11.0   11.9   15.2   30.4   0.26   28.8   14.2   21.0   23.7   14.2   21.0   23.7   86.4  400.5   0.00   0.00
 2015 166    19    0.0   11.0   11.9   14.9   29.8   0.28   29.0   15.6   21.8   24.4   15.6   21.8   24.4   86.4  400.7   0.00   0.00
 2015 167    20    0.0   11.0   11.9   13.5   27.0   0.34   28.8   14.9   21.4   24.0   14.9   21.4   24.0   86.4  400.7   0.00   0.00
 2015 168    21    0.0   11.0   11.9   11.6   23.2   0.44   28.6   16.1   21.9   24.3   16.1   21.9   24.3   86.4  400.7   0.00   0.00
 2015 169    22    0.0   11.0   11.9   13.4   26.8   0.35   28.7   15.7   21.8   24.2   15.7   21.8   24.2   86.4  400.7   0.00   0.00
 2015 170    23    0.0   11.0   11.9   13.6   27.2   0.34   27.2   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.7   0.00   0.00
 2015 171    24    0.0   11.0   11.9   12.9   25.8   0.37   25.9   12.5   18.7   21.3   12.5   18.7   21.3   86.4  400.7   0.00   0.00
 2015 172    25    0.0   11.0   11.9   14.0   28.0   0.32   24.3   14.8   19.2   21.0   14.8   19.2   21.0   86.4  400.7   0.00   0.00
 2015 173    26    0.0   11.0   11.9   13.3   26.6   0.35   26.2   13.0   19.1   21.6   13.0   19.1   21.6   86.4  400.7   0.00   0.00
